SYMBOL	TRANSCRIPT	COHORT	CANCER_TYPE	MUTATIONS	SAMPLES_COHORT	ALL_METHODS	SIG_METHODS	QVALUE_COMBINATION	QVALUE_CGC_COMBINATION	RANKING	TIER	ROLE	CGC_GENE	TIER_CGC	CGC_CANCER_GENE	SIGNATURE9	SIGNATURE10	WARNING_EXPRESSION	WARNING_GERMLINE	SAMPLES_3MUTS	OR_WARNING	WARNING_ARTIFACT	KNOWN_ARTIFACT	NUM_PAPERS	WARNING_ENSEMBL_TRANSCRIPTS	DRIVER	FILTER
ABCA13	ENST00000435803	ICGC_WXS_BRCA_BRCA_UK_2019	BRCA	5.0	95	smregions	smregions	0.0487408528860376		81.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	OTHER_WGS_BRCA_SCANB_TNBC_2019	BRCA	9.0	237	cbase	combination	0.085022954477852		121.0	4	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	HARTWIG_WGS_CHOL_2023	CHOL	4.0	80	oncodrivefml,cbase	cbase	0.0076413793361625		78.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	CPTAC_WXS_COAD_2020	COAD	14.0	103	cbase	combination	0.0057448556348502		146.0	3	LoF	False		False	0.0769230769230769	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	ICGC_WGS_ESCA_ESCA_CN_2019	ESCA	3.0	17	oncodrivefml,cbase	combination	0.0008331727109969		15.0	1	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	CBIOP_WXS_ESCA_EGC_TRAP_2020	ESCA	4.0	31	oncodrivefml,cbase	combination	0.0081629840217891		96.0	3	LoF	False		False	0.25	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	PCAWG_WGS_LIVER_HCC	HCC	34.0	314	cbase	combination	0.0192810003518104		92.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	CPTAC_WXS_HNSC_2020	HNSC	17.0	110	cbase	cbase	0.0068797953362212		77.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	PCAWG_WGS_LUNG_ADENOCA	LUAD	7.0	37	cbase	combination	0.0156429114012668		123.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	HARTWIG_WGS_LUNG_2023	LUNG	3.0	38	oncodrivefml	combination	0.1365576827697851		33.0	4	Act	False		False	0.0	0.0	True	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	PEDCBIOP_WXS_MBL_BROAD_2012	MBL	4.0	92	cbase	combination	0.0013826999696483		98.0	3	Act	False		False	0.0	0.0	True	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	CBIOP_WXS_CM_VALLEN_2018	MEL	43.0	151	hotmaps	combination	0.0271355809533995		75.0	3	Act	False		False	0.0	0.0	False	False	3.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	TARGET_WGS_NBL_US	NBL	13.0	212	dndscv,cbase	cbase	0.0001093699641125		8.0	1	Act	False		False	0.0	0.0	True	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	STJUDE_WGS_D_OS_2018	OS	2.0	29	oncodrivefml,cbase	combination	0.0079432159799986		15.0	3	Act	False		False	0.0	0.0	True	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	PCAWG_WGS_BONE_OSTEOSARC	OS	2.0	41	oncodrivefml	combination	0.001013079677798		82.0	3	Act	False		False	0.0	0.0	True	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	ICGC_WGS_OVT_OV_AU_2019	OVT	3.0	18	oncodrivefml,smregions,cbase	combination	0.0199981084878694		36.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	TCGA_WXS_PGNG	PGNG	6.0	178	dndscv,smregions,cbase	cbase	0.0024662793400973		9.0	1	Act	False		False	0.0	0.0	True	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	OTHER_WGS_PLMESO_MESOMICS_2023	PLMESO	3.0	115	oncodrivefml,smregions,cbase	combination	3.973864872251704e-05		32.0	1	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	CBIOP_WXS_PRAD_MSKCC_DCFI_2018_PRY	PRAD	12.0	223	smregions,hotmaps	smregions	0.0053926219077179		51.0	1	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	CBIOP_WXS_PRAD_BROAD_2013	PRAD	2.0	45	oncodrivefml	combination	0.1082302347400717		50.0	4	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	HARTWIG_WGS_READ_2023	READ	7.0	54	cbase	combination	0.0739184891392623		133.0	4	Act	False		False	0.0	0.0	True	False	0.0	False	True	False	0.0	False	False	No driver
ABCA2	ENST00000341511	CBIOP_WXS_ACY_2019	ACYC	2.0	35	cbase	combination	0.0191802874948625		37.0	1	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA2	ENST00000341511	PCAWG_WGS_BILIARY_ADENOCA	CHOL	2.0	34	cbase	combination	0.0086686782204163		117.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA2	ENST00000341511	CBIOP_WXS_CLL_BROAD_2013	CLLSLL	2.0	154	oncodrivefml	combination	0.0021149603442057		98.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA2	ENST00000341511	CBIOP_WXS_LUAD_ONCOSG_2020	LUAD	9.0	302	cbase	cbase	0.009253203523251		151.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA2	ENST00000341511	ICGC_WXS_NPC_ORCA_IN_2019	NPC	10.0	106	cbase	cbase	0.0009749365133737		93.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA2	ENST00000341511	HARTWIG_WGS_OVT_2023	OVT	5.0	174	mutpanning	combination	0.0135984902572054		57.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA2	ENST00000341511	HARTWIG_WGS_PLMESO_2023	PLMESO	2.0	42	cbase	combination	0.0150430413068502		111.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA2	ENST00000341511	CBIOP_WXS_SCLC_UCOLOGNE_2015	SCLC	8.0	107	cbase	combination	0.0034887507591593		151.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA3	ENST00000301732	TCGA_WXS_BRCA	BRCA	16.0	1009	hotmaps	combination	0.1445848787780319		130.0	4	ambiguous	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA3	ENST00000301732	OTHER_WXS_NPC_NATCOM2017	NPC	5.0	103	cbase	combination	0.000491293511238		31.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA3	ENST00000301732	CBIOP_WXS_EGC_TMUCIH_2015	STAD	3.0	78	smregions	combination	0.0215749525576232		109.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA4	ENST00000370225	PCAWG_WGS_BREAST_ADENOCA	BRCA	7.0	195	cbase	cbase	0.0140707160069048		124.0	3	LoF	False		False	0.0	0.0	False	False	1.0	False	False	False	0.0	False	False	No driver
ABCA4	ENST00000370225	TCGA_WXS_CCRCC	CCRCC	5.0	358	cbase	combination	0.0415668209174215		145.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA4	ENST00000370225	ICGC_WXS_CLLSLL_CLLE_ES_2019	CLLSLL	3.0	68	oncodrivefml,dndscv,smregions,cbase	combination	0.0007757535098046		4.0	1	Act	False		False	0.3333333333333333	0.0	True	False	0.0	False	False	False	0.0	False	False	No driver
ABCA4	ENST00000370225	CBIOP_WXS_HNSC_BROAD	HNSC	4.0	70	cbase	combination	0.012573702012529		175.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA4	ENST00000370225	PCAWG_WGS_SKIN_MELANOMA	MEL	23.0	107	smregions	combination	0.0205119488346201		151.0	3	Act	False		False	0.0	0.0	False	False	1.0	False	False	False	0.0	False	False	No driver
ABCA4	ENST00000370225	TARGET_WXS_OS_2020	OS	4.0	97	cbase,mutpanning	combination	0.0006401474809721		16.0	1	Act	False		False	0.0	0.0	True	False	0.0	False	False	False	0.0	False	False	No driver
ABCA4	ENST00000370225	HARTWIG_WGS_OVT_2023	OVT	9.0	174	cbase,mutpanning	combination	0.0038030873739707		20.0	1	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA6	ENST00000284425	TCGA_WXS_AML	AML	8.0	140	oncodrivefml,oncodriveclustl,dndscv,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	2.859367295044479e-32		7.0	1	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	True	Warning artifact
ABCA6	ENST00000284425	CBIOP_WXS_BRCA_MBCP_MET_NOTREAT_2020	BRCA	2.0	45	oncodrivefml	combination	0.0012276526195953		15.0	1	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA6	ENST00000284425	HARTWIG_WGS_GB_2023	GB	4.0	88	smregions	combination	0.4455884925492944		128.0	4	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA6	ENST00000284425	HARTWIG_WGS_OVT_2023	OVT	3.0	174	oncodrivefml	combination	0.0111802313473086		79.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA6	ENST00000284425	TCGA_WXS_OVT	OVT	8.0	409	oncodriveclustl	combination	0.0111102290767032		97.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA6	ENST00000284425	HARTWIG_WGS_STOMACH_2023	STOMACH	3.0	45	oncodrivefml	combination	0.0007592989789058		84.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA7	ENST00000263094	CBIOP_WXS_BLCA_BGI	BLCA	2.0	79	oncodrivefml	combination	0.0094983516824146		71.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA7	ENST00000263094	CPTAC_WXS_COAD_2020	COAD	3.0	103	smregions	combination	0.0261732899022308		97.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA7	ENST00000263094	HARTWIG_WGS_COAD_2023	COAD	4.0	125	oncodrivefml,cbase	combination	0.0503951661458885		121.0	4	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA7	ENST00000263094	TCGA_WXS_GBM	GBM	6.0	391	smregions	combination	0.2121866365516176		151.0	4	Act	False		False	0.1666666666666666	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA7	ENST00000263094	TCGA_WXS_HCC	HCC	7.0	360	oncodrivefml,cbase	cbase	0.0001391107106614		53.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA7	ENST00000263094	CPTAC_WXS_OVT_2020	OVT	2.0	68	oncodrivefml	combination	0.0053614325732678		74.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA7	ENST00000263094	CBIOP_WXS_PRAD_MSKCC_DCFI_2018_PRY	PRAD	6.0	223	smregions,cbase	combination	0.001023250404383		24.0	1	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA7	ENST00000263094	HARTWIG_WGS_RCC_2023	RCC	5.0	133	oncodrivefml	combination	0.0066452557316366		64.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA7	ENST00000263094	TCGA_WXS_THYM	THYM	2.0	122	cbase	combination	0.0538713028993482		112.0	4	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA8	ENST00000586539	HARTWIG_WGS_COAD_2023	COAD	7.0	125	cbase	combination	0.0931120563484471		136.0	4	LoF	False		False	0.1428571428571428	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA8	ENST00000586539	ICGC_WGS_MEL_MELA_AU_2019	MEL	7.0	75	smregions	combination	0.1295827293138281		76.0	4	Act	False		False	0.0	0.0	False	False	1.0	False	True	False	0.0	False	False	No driver
ABCA8	ENST00000586539	CPTAC_WXS_PAAD_2021	PAAD	5.0	140	cbase	combination	3.623127805561848e-05		25.0	1	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA8	ENST00000586539	HARTWIG_WGS_UTUC_2023	UTUC	3.0	28	oncodrivefml	combination	0.0008128034991163		119.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA9	ENST00000340001	TCGA_WXS_BLCA	BLCA	15.0	411	cbase	cbase	4.323853899808951e-05		127.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA9	ENST00000340001	ICGC_WXS_STAD_GACA_CN_2019	STAD	3.0	84	cbase	combination	0.0016510670959847		91.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCB1	ENST00000622132	CBIOP_WXS_ANGS_TREATED_2020	ANGS	3.0	37	smregions,hotmaps	smregions	4.630552465087104e-05		23.0	1	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	17.0	False	False	No driver
ABCB1	ENST00000622132	TCGA_WXS_CCRCC	CCRCC	8.0	358	cbase,mutpanning	cbase	0.000184271928641		28.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	17.0	False	False	No driver
ABCB1	ENST00000622132	ICGC_WGS_ESCA_ESAD_UK_2019	ESCA	18.0	309	dndscv,cbase	dndscv,cbase	0.0006026918210277		46.0	3	Act	False		False	0.0555555555555555	0.0	False	False	0.0	False	True	False	17.0	False	True	Warning artifact
ABCB1	ENST00000622132	HARTWIG_WGS_ESCC_2023	ESCC	7.0	140	smregions	combination	0.3976434620928926		160.0	4	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	17.0	False	False	No driver
ABCB1	ENST00000622132	HARTWIG_WGS_GB_2023	GB	4.0	88	cbase	combination	0.0123836429641779		87.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	17.0	False	False	No driver
ABCB1	ENST00000622132	TCGA_WXS_GBM	GBM	11.0	391	hotmaps	combination	4.722461561825971e-05		70.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	17.0	False	False	No driver
ABCB1	ENST00000622132	CBIOP_WXS_HNSC_VALLEN_2018	HNSC	3.0	12	oncodrivefml,dndscv,smregions,cbase,mutpanning	smregions,mutpanning	2.3441744431366183e-08		3.0	1	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	17.0	False	True	Warning artifact
ABCB1	ENST00000622132	ICGC_WGS_LUSC_LUSC_KR_2019	LUSC	2.0	30	oncodrivefml,dndscv,cbase,mutpanning	combination	0.0002568909005593		10.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	17.0	False	False	No driver
ABCB1	ENST00000622132	ICGC_WGS_PRAD_PRAD_FR_2019	PRAD	2.0	25	oncodrivefml	combination	0.1811982747095467		41.0	4	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	17.0	False	False	No driver
ABCB1	ENST00000622132	ICGC_WXS_WDTC_THCA_SA_2019	WDTC	2.0	243	hotmaps	combination	0.0346914165951056		79.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	17.0	False	False	No driver
ABCB10	ENST00000344517	TCGA_WXS_LUAD	LUAD	10.0	560	oncodrivefml	combination	0.0004038932390277		119.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	5.0	False	False	No driver
ABCB10	ENST00000344517	TCGA_WXS_STAD	STAD	4.0	436	hotmaps	combination	0.0214159078962687		54.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	5.0	False	False	No driver
ABCB11	ENST00000650372	CBIOP_WXS_ANGS_UNTREAT_2020	ANGS	2.0	34	cbase	combination	0.0002090228168401		52.0	1	LoF	False		False	0.0	0.0	True	False	0.0	False	False	False	0.0	False	False	No driver
ABCB11	ENST00000650372	CBIOP_WXS_BRCA_MBCP_MET_NOTREAT_2020	BRCA	2.0	45	oncodrivefml	combination	0.0008112733168282		15.0	1	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCB11	ENST00000650372	TARGET_WGS_NBL_US	NBL	4.0	212	mutpanning	combination	0.001010793594341		120.0	3	Act	False		False	0.0	0.0	True	False	0.0	False	False	False	0.0	False	False	No driver
ABCB11	ENST00000650372	HARTWIG_WGS_WDTC_2023	WDTC	2.0	24	oncodrivefml	combination	0.0027430490172929		72.0	3	Act	False		False	0.0	0.0	True	False	0.0	False	False	False	0.0	False	False	No driver
ABCB4	ENST00000649586	HARTWIG_WGS_HCC_2023	HCC	4.0	52	oncodrivefml,dndscv	combination	0.0035807575337667		28.0	1	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	3.0	False	False	No driver
ABCB4	ENST00000649586	HARTWIG_WGS_HNSC_2023	HNSC	2.0	33	oncodrivefml	combination	0.0008481015075552		69.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	3.0	False	False	No driver
ABCB5	ENST00000404938	HARTWIG_WGS_BLCA_2023	BLCA	10.0	144	cbase	cbase	0.0011573945340432		93.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	6.0	False	False	No driver
ABCB5	ENST00000404938	TCGA_WXS_HCC	HCC	12.0	360	smregions	combination	0.0316598610868756		135.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	6.0	False	False	No driver
ABCB5	ENST00000404938	STJUDE_WGS_D_CM_2018	MEL	3.0	7	oncodrivefml,dndscv,smregions,cbase	smregions	0.0010683590355222		9.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	6.0	False	False	No driver
ABCB5	ENST00000404938	PCAWG_WGS_SKIN_MELANOMA	MEL	25.0	107	oncodriveclustl	combination	0.0773063397749488		48.0	4	LoF	False		False	0.04	0.0	False	False	1.0	False	False	False	6.0	False	False	No driver
ABCB8	ENST00000358849	PCAWG_WGS_STOMACH_ADENOCA	STAD	2.0	68	oncodrivefml	combination	0.0017648268752201		35.0	1	LoF	False		False	0.5	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCB8	ENST00000358849	TCGA_WXS_UCEC	UCEC	10.0	515	hotmaps	hotmaps	0.2968086713531923		76.0	4	ambiguous	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCB9	ENST00000280560	CBIOP_WXS_CSCC_UCSF_2018	CSCC	4.0	83	hotmaps	combination	0.0064851996008757		12.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
