source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition
Q9BX84	Q96QT4	TRPM6	TRPM7	True	True	True	True	True	False
Q96QT4	P35579	TRPM7	MYH9	True	False	False	False	False	False
P63244	Q96QT4	RACK1	TRPM7	True	False	True	True	False	True
P28222	Q7Z2W7	HTR1B	TRPM8	True	True	False	True	True	False
P35372	Q7Z2W7	OPRM1	TRPM8	True	False	True	True	False	True
P17612	Q9GZU1	PRKACA	MCOLN1	True	False	True	True	False	True
Q8IZK6	Q9GZU1	MCOLN2	MCOLN1	True	True	False	True	True	False
Q9GZU1	Q8IZK6	MCOLN1	MCOLN2	True	True	False	True	True	False
Q8TDD5	Q9GZU1	MCOLN3	MCOLN1	True	True	False	False	False	False
Q9GZU1	Q8TDD5	MCOLN1	MCOLN3	True	True	False	True	True	False
Q8IZK6	Q8TDD5	MCOLN2	MCOLN3	True	True	False	True	True	False
P14314	Q13563	PRKCSH	PKD2	True	False	True	True	False	True
Q9Y496	Q13563	KIF3A	PKD2	True	True	False	True	True	False
Q13190	Q13563	STX5	PKD2	True	False	True	True	False	True
P63244	Q9NZM6	RACK1	PKD2L2	True	False	True	True	False	True
P17612	Q13563	PRKACA	PKD2	True	False	False	False	False	False
P42574	O75822	CASP3	EIF3J	True	False	True	True	False	True
P42574	P16144	CASP3	ITGB4	True	True	True	True	False	True
O76064	P19793	RNF8	RXRA	True	True	False	True	True	False
COMPLEX:P67775_Q15172_Q15257	P28749	PPP2CA_PPP2R5A_PTPA	RBL1	True	False	True	True	False	True
P49137	Q16539	MAPKAPK2	MAPK14	True	True	False	False	False	False
Q16539	P49137	MAPK14	MAPKAPK2	True	True	False	True	True	False
P49137	Q13151	MAPKAPK2	HNRNPA0	True	True	False	True	True	False
P31483	P24522	TIA1	GADD45A	True	False	True	True	False	True
Q14103	P24522	HNRNPD	GADD45A	True	False	True	True	False	True
P49137	O95453	MAPKAPK2	PARN	True	False	True	True	False	True
Q13151	P24522	HNRNPA0	GADD45A	True	True	False	True	True	False
P16220	P60568	CREB1	IL2	True	True	False	True	True	False
O60674	P19235	JAK2	EPOR	True	True	False	True	True	False
P19235	O60674	EPOR	JAK2	True	True	False	False	False	False
B1AK53	Q9UKN7	ESPN	MYO15A	True	True	False	True	True	False
O95452	P29033	GJB6	GJB2	True	True	False	True	True	False
P29033	O95452	GJB2	GJB6	True	True	False	True	True	False
Q16539	Q01085	MAPK14	TIAL1	True	False	True	True	False	True
O95453	P24522	PARN	GADD45A	True	True	False	True	True	False
P26651	P01375	ZFP36	TNF	True	False	True	True	False	True
P49757	P46531	NUMB	NOTCH1	True	True	True	True	False	True
Q01085	P24522	TIAL1	GADD45A	True	False	True	True	False	True
Q15915	Q92858	ZIC1	ATOH1	True	False	True	True	False	True
Q16539	P26651	MAPK14	ZFP36	True	True	True	True	True	False
Q5TA89	Q92858	HES5	ATOH1	True	False	True	True	False	True
Q92858	Q5TA89	ATOH1	HES5	True	True	False	True	True	False
P49137	P26651	MAPKAPK2	ZFP36	True	True	True	True	False	True
P46531	Q9Y219	NOTCH1	JAG2	True	False	True	False	False	False
Q9Y219	P46531	JAG2	NOTCH1	True	True	True	True	True	False
O00548	P46531	DLL1	NOTCH1	True	True	False	True	True	False
P46531	O00548	NOTCH1	DLL1	True	True	True	False	False	False
Q15475	Q8NES3	SIX1	LFNG	True	True	False	True	True	False
P16220	P22301	CREB1	IL10	True	True	False	True	True	False
P16220	P05231	CREB1	IL6	True	True	False	True	True	False
P23458	COMPLEX:P15260_P38484	JAK1	IFNGR1_IFNGR2	True	True	False	False	False	False
Q15475	P32243	SIX1	OTX2	True	True	False	True	True	False
Q15475	A6NHT5	SIX1	HMX3	True	True	True	True	True	True
Q15475	P56178	SIX1	DLX5	True	False	True	True	False	True
Q15475	P32242	SIX1	OTX1	True	True	False	True	True	False
COMPLEX:O43741_P54619_P54646_Q13131_Q9UGI9_Q9UGJ0_Q9Y478	Q53ET0	PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3	CRTC2	True	False	True	True	False	True
P16220	P14174	CREB1	MIF	True	True	False	True	True	False
Q15475	Q9UI36	SIX1	DACH1	True	True	True	True	True	True
O14727	P04637	APAF1	TP53	True	False	False	False	False	False
Q15475	Q96NX9	SIX1	DACH2	True	False	True	True	False	True
P01375	P16220	TNF	CREB1	True	True	False	False	False	False
P16220	P01375	CREB1	TNF	True	True	False	True	True	False
Q13402	Q96QU1	MYO7A	PCDH15	True	True	False	True	True	False
Q96QU1	Q13402	PCDH15	MYO7A	True	True	False	True	True	False
P16220	P35354	CREB1	PTGS2	True	True	False	True	True	False
Q06546	Q16881	GABPA	TXNRD1	True	True	False	True	True	False
Q06546	P10599	GABPA	TXN	True	True	False	True	True	False
P16220	Q9GZX7	CREB1	AICDA	True	True	False	True	True	False
P27361	Q06546	MAPK3	GABPA	True	True	False	True	True	False
P28482	Q06546	MAPK1	GABPA	True	True	False	True	True	False
P50607	P28482	TUB	MAPK1	True	True	False	True	True	False
P50607	P27361	TUB	MAPK3	True	True	False	True	True	False
Q75NE6	O43521	MIR17HG	BCL2L11	True	False	True	True	False	True
Q92786	Q99684	PROX1	GFI1	True	False	True	True	False	True
Q99684	P49918	GFI1	CDKN1C	True	True	False	True	True	False
Q14145	Q06546	KEAP1	GABPA	True	False	True	True	False	True
Q92786	Q92858	PROX1	ATOH1	True	False	True	True	False	True
P31749	Q15119	AKT1	PDK2	True	False	False	False	False	False
P23771	O15520	GATA3	FGF10	True	True	False	True	True	False
Q9NZI8	Q9Y297	IGF2BP1	BTRC	True	True	False	True	True	False
P23760	Q96NX9	PAX3	DACH2	True	True	False	True	True	False
Q96NX9	P23760	DACH2	PAX3	True	True	False	True	True	False
O94916	P15121	NFAT5	AKR1B1	True	True	False	True	True	False
Q12951	Q06710	FOXI1	PAX8	True	True	False	True	True	False
P11487	Q12951	FGF3	FOXI1	True	True	False	True	True	False
P16220	Q9BYV9	CREB1	BACH2	True	True	False	True	True	False
O94916	P48065	NFAT5	SLC6A12	True	True	False	True	True	False
Q06413	P05412	MEF2C	JUN	True	True	False	True	True	False
P31749	O15111	AKT1	CHUK	True	True	False	True	True	False
O94916	P53794	NFAT5	SLC5A3	True	True	False	True	True	False
O15111	P19838	CHUK	NFKB1	True	True	True	True	False	True
P19838	O15111	NFKB1	CHUK	True	True	False	False	False	False
P27986	P31749	PIK3R1	AKT1	True	True	False	True	True	False
P31749	P27986	AKT1	PIK3R1	True	False	False	False	False	False
Q6P1J9	Q9UKF6	CDC73	CPSF3	True	True	False	True	True	False
P16220	Q00534	CREB1	CDK6	True	True	False	True	True	False
Q92797	Q05048	SYMPK	CSTF1	True	True	False	True	True	False
P06493	P31350	CDK1	RRM2	True	True	True	True	True	False
Q13315	P33992	ATM	MCM5	True	False	False	False	False	False
Q13315	Q14566	ATM	MCM6	True	False	False	False	False	False
P42574	Q9UKV3	CASP3	ACIN1	True	True	False	True	True	False
P04198	P49736	MYCN	MCM2	True	True	False	True	True	False
P06493	P38936	CDK1	CDKN1A	True	False	False	False	False	False
P38936	P06493	CDKN1A	CDK1	True	False	True	True	False	True
P04637	O43663	TP53	PRC1	True	False	True	True	False	True
P04637	P18847	TP53	ATF3	True	True	False	True	True	False
P18847	P04637	ATF3	TP53	True	False	True	False	False	False
Q13315	Q15554	ATM	TERF2	True	True	False	True	True	False
Q15554	Q13315	TERF2	ATM	True	False	True	False	False	False
P04198	Q14566	MYCN	MCM6	True	True	False	True	True	False
Q00987	Q7LG56	MDM2	RRM2B	True	False	True	True	False	True
Q13535	P23025	ATR	XPA	True	True	False	True	True	False
COMPLEX:P67870_P68400	P62805	CSNK2A1_CSNK2B	H4C6	True	False	True	True	False	True
P04198	P33991	MYCN	MCM4	True	True	False	True	True	False
P04198	P33992	MYCN	MCM5	True	True	False	True	True	False
P04198	P25205	MYCN	MCM3	True	True	False	True	True	False
Q01094	Q9BXL8	E2F1	CDCA4	True	True	False	True	True	False
Q9BXL8	Q01094	CDCA4	E2F1	True	False	True	False	False	False
Q9Y5W3	P61073	KLF2	CXCR4	True	False	True	True	False	True
P05019	P08069	IGF1	IGF1R	True	True	False	True	True	False
P08069	P05019	IGF1R	IGF1	True	False	False	False	False	False
P13500	P50281	CCL2	MMP14	True	True	False	True	True	False
Q6PL18	P01106	ATAD2	MYC	True	True	False	True	True	False
P50281	P08253	MMP14	MMP2	True	True	False	True	True	False
COMPLEX:P05412_P15336	P16581	ATF2_JUN	SELE	True	True	False	True	True	False
P00519	O15350	ABL1	TP73	True	True	False	True	True	False
P00519	P78527	ABL1	PRKDC	True	False	True	False	False	False
P78527	P00519	PRKDC	ABL1	True	True	False	True	True	False
P04198	P33993	MYCN	MCM7	True	True	False	True	True	False
P48357	P23458	LEPR	JAK1	True	True	False	True	True	False
COMPLEX:P63208_Q13616_Q9Y297	O15055	BTRC_CUL1_SKP1	PER2	True	False	True	True	False	True
P04198	Q9UJA3	MYCN	MCM8	True	True	False	True	True	False
COMPLEX:P63208_Q13616_Q9Y297	O15534	BTRC_CUL1_SKP1	PER1	True	False	True	True	False	True
O00327	Q49AN0	BMAL1	CRY2	True	True	False	True	True	False
Q49AN0	O00327	CRY2	BMAL1	True	False	True	True	False	True
O00327	Q16526	BMAL1	CRY1	True	True	False	True	True	False
Q6PL18	P10275	ATAD2	AR	True	True	False	True	True	False
P27539	P61160	GDF1	ACTR2	True	True	False	True	True	False
Q16526	O00327	CRY1	BMAL1	True	False	True	True	False	True
Q99743	O15055	NPAS2	PER2	True	True	False	True	True	False
Q99743	O15534	NPAS2	PER1	True	True	False	True	True	False
Q6PL18	P03372	ATAD2	ESR1	True	True	False	True	True	False
Q6PL18	Q01094	ATAD2	E2F1	True	True	False	True	True	False
Q96RU2	Q9HAW4	USP28	CLSPN	True	True	True	True	True	True
O60260	P24864	PRKN	CCNE1	True	True	True	True	False	True
P12004	Q9UNA4	PCNA	POLI	True	True	False	True	True	False
O60260	Q99719	PRKN	SEPTIN5	True	True	True	True	False	True
P12004	Q9Y253	PCNA	POLH	True	True	False	True	True	False
P04198	P04637	MYCN	TP53	True	True	False	True	True	False
C0HMA1	P61586	MIR155HG	RHOA	True	False	True	True	False	True
Q93009	Q00987	USP7	MDM2	True	True	False	True	True	False
Q93009	O15151	USP7	MDM4	True	True	False	True	True	False
Q04206	P60484	RELA	PTEN	True	False	True	True	False	True
P28749	Q16254	RBL1	E2F4	True	True	False	False	False	False
Q16254	P28749	E2F4	RBL1	True	False	True	True	False	True
Q96SD1	Q13426	DCLRE1C	XRCC4	True	True	False	True	True	False
Q08999	Q15329	RBL2	E2F5	True	True	False	True	True	False
Q08999	Q16254	RBL2	E2F4	True	True	False	True	True	False
Q14676	Q12888	MDC1	TP53BP1	True	True	True	True	True	False
O76064	Q16777	RNF8	H2AC20	True	True	False	True	True	False
COMPLEX:P16104_Q14676	O76064	H2AX_MDC1	RNF8	True	True	False	True	True	False
O60260	P35222	PRKN	CTNNB1	True	True	False	True	True	False
Q14676	O76064	MDC1	RNF8	True	True	False	True	True	False
O60260	P49792	PRKN	RANBP2	True	False	True	True	False	True
COMPLEX:P16104_Q14676	O60934	H2AX_MDC1	NBN	True	True	False	True	True	False
O60260	Q9UHX1	PRKN	PUF60	True	False	True	True	False	True
COMPLEX:P12956_P78527	Q13426	PRKDC_XRCC6	XRCC4	True	True	False	True	True	False
O60260	Q9Y6H5	PRKN	SNCAIP	True	True	True	True	False	True
O60260	P05412	PRKN	JUN	True	False	True	True	False	True
O60260	P0DMV9	PRKN	HSPA1B	True	False	True	True	False	True
O60260	Q99700	PRKN	ATXN2	True	False	True	True	False	True
Q99700	O60260	ATXN2	PRKN	True	True	False	False	False	False
Q9Y5Z0	P05067	BACE2	APP	True	True	False	True	True	False
O60260	P37840	PRKN	SNCA	True	True	True	True	False	True
O14672	P05067	ADAM10	APP	True	True	False	True	True	False
P05067	P56817	APP	BACE1	True	True	False	False	False	False
P56817	P05067	BACE1	APP	True	True	False	True	True	False
Q13426	Q96T60	XRCC4	PNKP	True	True	False	True	True	False
Q12888	P56524	TP53BP1	HDAC4	True	True	False	True	True	False
P78536	P05067	ADAM17	APP	True	True	False	True	True	False
Q13443	P05067	ADAM9	APP	True	True	False	True	True	False
P60484	Q70Z35	PTEN	PREX2	True	False	True	False	False	False
Q70Z35	P60484	PREX2	PTEN	True	False	True	True	False	True
Q9BXM7	Q12931	PINK1	TRAP1	True	True	False	True	True	False
Q99497	O43464	PARK7	HTRA2	True	True	False	True	True	False
P23468	P40763	PTPRD	STAT3	True	False	True	True	False	True
Q96RU2	Q969H0	USP28	FBXW7	True	False	True	True	False	True
O60260	Q9BXM7	PRKN	PINK1	True	True	False	False	False	False
Q9BXM7	O60260	PINK1	PRKN	True	True	False	True	True	False
COMPLEX:P67870_P68400	P01106	CSNK2A1_CSNK2B	MYC	True	True	False	True	True	False
COMPLEX:P01106_P61244_Q9ULJ6	P38936	MAX_MYC_ZMIZ1	CDKN1A	True	False	True	True	False	True
P18887	Q96T60	XRCC1	PNKP	True	True	False	True	True	False
Q05209	Q13526	PTPN12	PIN1	True	True	False	True	True	False
P17252	P18206	PRKCA	VCL	True	True	False	True	True	False
P18206	P17252	VCL	PRKCA	True	True	False	False	False	False
P04049	P30086	RAF1	PEBP1	True	False	False	False	False	False
P30086	P04049	PEBP1	RAF1	True	True	True	True	False	True
Q13526	P15056	PIN1	BRAF	True	True	False	True	True	False
P24385	Q9NS23	CCND1	RASSF1	True	False	False	False	False	False
P24941	P01106	CDK2	MYC	True	True	False	True	True	False
O60381	P01106	HBP1	MYC	True	False	True	True	False	True
P62913	Q9Y4A5	RPL11	TRRAP	True	False	True	True	False	True
Q9Y4A5	P01106	TRRAP	MYC	True	True	False	True	True	False
P01106	Q9Y219	MYC	JAG2	True	True	False	True	True	False
Q969H0	P01106	FBXW7	MYC	True	True	True	True	False	True
Q13526	Q05209	PIN1	PTPN12	True	True	False	True	True	False
O15530	Q13153	PDPK1	PAK1	True	True	False	True	True	False
Q13153	O15530	PAK1	PDPK1	True	True	False	False	False	False
Q13153	P49023	PAK1	PXN	True	True	False	True	True	False
P42574	P78527	CASP3	PRKDC	True	True	True	True	True	False
P78527	P42574	PRKDC	CASP3	True	False	False	False	False	False
Q13153	P21333	PAK1	FLNA	True	True	False	True	True	False
P42574	Q13177	CASP3	PAK2	True	True	False	True	True	False
Q13177	P42574	PAK2	CASP3	True	False	False	False	False	False
P42574	P06396	CASP3	GSN	True	True	True	True	False	True
P08069	P46934	IGF1R	NEDD4	True	False	False	False	False	False
Q05209	Q05397	PTPN12	PTK2	True	False	True	True	False	True
Q05397	Q05209	PTK2	PTPN12	True	False	False	False	False	False
COMPLEX:P12956_P13010	P78527	XRCC5_XRCC6	PRKDC	True	True	False	True	True	False
P21333	Q9NYA1	FLNA	SPHK1	True	True	False	True	True	False
Q96Q15	Q92900	SMG1	UPF1	True	True	False	True	True	False
COMPLEX:P12956_P13010	Q9H9Q4	XRCC5_XRCC6	NHEJ1	True	True	False	True	True	False
COMPLEX:Q07889_Q12929_Q8IZP0	P63000	ABI1_EPS8_SOS1	RAC1	True	True	False	True	True	False
Q13315	Q96RU2	ATM	USP28	True	True	True	True	True	False
P45983	P45985	MAPK8	MAP2K4	True	False	False	False	False	False
P45985	P45983	MAP2K4	MAPK8	True	True	False	True	True	False
O43318	P45985	MAP3K7	MAP2K4	True	True	False	True	True	False
P45985	O43318	MAP2K4	MAP3K7	True	False	False	False	False	False
P08476	P61160	INHBA	ACTR2	True	True	False	True	True	False
P27986	P63000	PIK3R1	RAC1	True	True	False	True	True	False
P63000	P27986	RAC1	PIK3R1	True	True	False	False	False	False
O00459	P63000	PIK3R2	RAC1	True	True	False	True	True	False
P63000	O00459	RAC1	PIK3R2	True	True	False	False	False	False
O75143	O75385	ATG13	ULK1	True	True	False	False	False	False
O75385	O75143	ULK1	ATG13	True	True	False	True	True	False
Q9P2Y5	Q14457	UVRAG	BECN1	True	True	True	True	True	False
O75385	Q8TDY2	ULK1	RB1CC1	True	True	False	True	True	False
Q8TDY2	O75385	RB1CC1	ULK1	True	True	False	False	False	False
P42345	O75143	MTOR	ATG13	True	False	True	True	False	True
Q9P2Y5	Q9Y371	UVRAG	SH3GLB1	True	True	False	False	False	False
Q9H2V7	Q07817	SPNS1	BCL2L1	True	False	True	True	False	True
Q9Y371	Q9P2Y5	SH3GLB1	UVRAG	True	True	False	True	True	False
O75143	Q8TDY2	ATG13	RB1CC1	True	True	False	True	True	False
P42345	Q8IYT8	MTOR	ULK2	True	False	True	True	False	True
Q14457	Q99570	BECN1	PIK3R4	True	True	False	True	True	False
P63000	Q13009	RAC1	TIAM1	True	True	False	False	False	False
Q13009	P63000	TIAM1	RAC1	True	True	False	True	True	False
P01112	Q13009	HRAS	TIAM1	True	True	False	True	True	False
Q13009	P01112	TIAM1	HRAS	True	True	False	False	False	False
Q9H0Y0	O94817	ATG10	ATG12	True	True	False	True	True	False
P42345	Q8N122	MTOR	RPTOR	True	True	False	False	False	False
Q8N122	P42345	RPTOR	MTOR	True	True	True	True	False	True
P31749	Q96B36	AKT1	AKT1S1	True	False	True	True	False	True
P53355	Q96RR4	DAPK1	CAMKK2	True	False	True	True	False	True
P42345	Q9BVC4	MTOR	MLST8	True	False	False	False	False	False
Q07820	Q92934	MCL1	BAD	True	True	True	True	True	True
Q9BVC4	P42345	MLST8	MTOR	True	True	False	False	False	False
P53355	Q16659	DAPK1	MAPK6	True	False	True	True	False	True
Q9P2Y5	Q99570	UVRAG	PIK3R4	True	True	False	True	True	False
O75143	Q8IYT8	ATG13	ULK2	True	True	False	False	False	False
Q8IYT8	O75143	ULK2	ATG13	True	True	False	True	True	False
P17655	P10415	CAPN2	BCL2	True	False	True	True	False	True
Q07817	Q14457	BCL2L1	BECN1	True	True	True	True	False	True
Q14457	Q07817	BECN1	BCL2L1	True	False	False	False	False	False
Q96B36	Q8N122	AKT1S1	RPTOR	True	False	True	True	False	True
P42575	P99999	CASP2	CYCS	True	True	False	True	True	False
P42345	Q96B36	MTOR	AKT1S1	True	False	True	True	False	True
Q96B36	P42345	AKT1S1	MTOR	True	False	True	False	False	False
Q8IYT8	Q8TDY2	ULK2	RB1CC1	True	True	False	False	False	False
Q8TDY2	Q8IYT8	RB1CC1	ULK2	True	True	False	True	True	False
